date,gross_return,net_return,turnover,trading_cost,growth_gross,drawdown_gross,growth_net,drawdown_net,model
2022-12-12,0.00980345550755446,0.00980345550755457,0.0,0.0,1.1911296409109573,-0.02750658619215085,1.18896057706219,-0.02788634551227842,Base Equity Minimum-Variance
2022-12-13,0.004185052392838267,0.004185052392838173,0.0,0.0,1.1961145808648321,-0.023436650303675033,1.1939364393702143,-0.023817998936453977,Base Equity Minimum-Variance
2022-12-14,-0.000874765569970315,-0.0008747655699703483,0.0,0.0,1.195068261011752,-0.024290914298884303,1.1928920248803203,-0.024671929341009147,Base Equity Minimum-Variance
2022-12-15,-0.01774160467289109,-0.017741604672891098,0.0,0.0,1.173865832367762,-0.04160155917314157,1.171728206157449,-0.04197581439701459,Base Equity Minimum-Variance
2022-12-16,-0.008045227215304604,-0.008045227215304651,0.0,0.0,1.1644218150260806,-0.04931209239238743,1.162301386504331,-0.04968333664794777,Base Equity Minimum-Variance
2022-12-19,-0.0022693371241426044,-0.0022693371241425675,0.0,0.0,1.1617793493730804,-0.051469523754594904,1.1596637328184944,-0.05183992553178385,Base Equity Minimum-Variance
2022-12-20,0.0011816909956800853,0.001181690995680107,0.0,0.0,1.1631522135692016,-0.05034865383168752,1.161034097009583,-0.05071949330932124,Base Equity Minimum-Variance
2022-12-21,0.010035725951346317,0.010035725951346386,0.0,0.0,1.174825290424284,-0.040818213172215234,1.17268591702734,-0.041192774293218326,Base Equity Minimum-Variance
2022-12-22,-0.0042582184153030205,-0.00425821841530305,0.0,0.0,1.1698226277378356,-0.04490261872050849,1.1676923642600876,-0.04527558487844874,Base Equity Minimum-Variance
2022-12-23,0.001536185562130614,0.001536185562130532,0.0,0.0,1.17161969236882,-0.0434354119129583,1.1694861564110741,-0.043808951016125364,Base Equity Minimum-Variance
2022-12-27,0.0022077887502404423,0.0022077887502405247,0.0,0.0,1.1742063811451922,-0.04132351937650125,1.1720681347907604,-0.04169788317509815,Base Equity Minimum-Variance
2022-12-28,-0.012382865542936081,-0.012382865542936106,0.0,0.0,1.1596663414078137,-0.053194681335237304,1.1575545726704866,-0.053564409437251936,Base Equity Minimum-Variance
2022-12-29,0.007638085740483222,0.0076380857404831914,0.0,0.0,1.168523972353839,-0.045962901131730294,1.166396073745832,-0.04633545324868882,Base Equity Minimum-Variance
2022-12-30,-0.0009569301890239603,-0.0009569301890239856,0.0,0.0,1.1674057764880954,-0.0468758480330862,1.1652799141305057,-0.04724804364367696,Base Equity Minimum-Variance
2023-01-03,0.0073932185422289805,0.007376873485437141,0.016225101073809037,1.622510107380904e-05,1.1760366625211325,-0.03982919287971809,1.1738760366321674,-0.040219712998633694,Base Equity Minimum-Variance
2023-01-04,0.011715029282736218,0.011715029282736156,0.0,0.0,1.1898139664601388,-0.02858076375787555,1.1876280287756156,-0.028975858831419843,Base Equity Minimum-Variance
