trading_date,ticker,sector,vader_compound,finvader_compound,headline_count
2021-08-16,DOW,Materials,0.0,0.00775,2
2021-08-16,DUK,Utilities,0.2202,0.02,2
2021-08-16,EA,Comm,0.0,0.3612,1
2021-08-16,GE,Industrials,-0.31205000000000005,-0.13125,2
2021-08-16,GILD,Healthcare,0.23344,0.11682000000000001,5
2021-08-16,GS,Financials,0.17888333333333337,-0.0808,6
2021-08-16,INTC,Tech,0.1144,0.01,4
2021-08-16,KO,Consumer,0.08609999999999998,-0.015199999999999991,2
2021-08-16,MMM,Industrials,0.261275,0.22562500000000002,4
2021-08-16,MRK,Healthcare,0.0,0.0,2
2021-08-16,MS,Financials,0.074,-0.044975000000000015,4
2021-08-16,NEE,Utilities,0.18795000000000003,0.01225,2
2021-08-16,NEM,Materials,0.0,0.0155,1
2021-08-16,NKE,Consumer,0.025733333333333334,-0.1144,3
2021-08-16,NUE,Materials,0.0,0.2187,1
2021-08-16,O,RealEstate,-0.2732,0.0013,1
2021-08-16,OXY,Energy,0.23786666666666667,0.005333333333333319,3
2021-08-16,PLD,RealEstate,0.296,0.5796,1
2021-08-16,QCOM,Tech,0.0,0.0,1
2021-08-16,SBUX,Consumer,0.0,0.0025666666666666667,3
2021-08-16,SHW,Materials,0.2023,0.0219,1
2021-08-16,SLB,Energy,-0.148,-0.35645000000000004,2
2021-08-16,SO,Utilities,0.1658666666666667,0.014933333333333333,3
2021-08-16,T,Comm,-0.161225,0.009699999999999997,4
2021-08-16,TMUS,Comm,-0.12692857142857142,-0.05014285714285714,7
2021-08-16,UPS,Industrials,0.0,0.0,1
2021-08-16,V,Financials,0.06743333333333333,0.009866666666666668,3
2021-08-16,WFC,Financials,0.0,-0.17590000000000003,3
2021-08-16,WMT,Consumer,0.07127368421052632,-0.03345263157894737,19
2021-08-16,XOM,Energy,0.06596666666666667,0.055999999999999994,3
2021-08-17,ABBV,Healthcare,0.3021,0.014199999999999999,2
2021-08-17,ABT,Healthcare,0.4019,0.0065,1
2021-08-17,ADBE,Tech,0.0,0.02366666666666667,3
2021-08-17,AMD,Tech,-0.064,-0.18015,2
2021-08-17,AMGN,Healthcare,-0.1613,-0.4953,1
2021-08-17,AMT,RealEstate,0.296,0.0065,1
2021-08-17,CAT,Industrials,0.0,0.0039,1
2021-08-17,CMCSA,Comm,0.5859,0.3612,1
2021-08-17,COP,Energy,-0.2202,-0.1747,2
2021-08-17,CVX,Energy,0.175075,0.011224999999999999,4
2021-08-17,DD,Materials,0.296,-0.0772,1
2021-08-17,DIS,Consumer,0.054610000000000006,-0.006909999999999997,10
2021-08-17,EA,Comm,0.0258,0.0155,1
2021-08-17,GE,Industrials,0.5574,0.3612,1
2021-08-17,GILD,Healthcare,0.4576,0.009,1
2021-08-17,GS,Financials,-0.059857142857142866,-0.006957142857142844,7
2021-08-17,INTC,Tech,0.0,0.0,1
2021-08-17,MRK,Healthcare,0.296,0.0065,1
2021-08-17,MS,Financials,0.11625999999999999,-0.10804,5
2021-08-17,NVDA,Tech,0.0,-0.3474,1
2021-08-17,OXY,Energy,-0.1468,-0.11646666666666666,3
2021-08-17,QCOM,Tech,-0.06743333333333333,0.006866666666666667,3
2021-08-17,SBUX,Consumer,0.12342499999999999,-0.009250000000000008,4
2021-08-17,SHW,Materials,0.4215,0.4215,1
2021-08-17,SLB,Energy,-0.2202,-0.1747,2
2021-08-17,SO,Utilities,0.296,0.296,1
2021-08-17,T,Comm,0.0,0.00385,2
2021-08-17,TTWO,Comm,0.0258,0.0155,1
2021-08-17,UPS,Industrials,0.0,0.0116,1
2021-08-17,V,Financials,0.2288,0.00835,2
2021-08-17,WFC,Financials,-0.16667500000000002,-0.1399,4
2021-08-17,WMT,Consumer,0.009577777777777774,0.0357388888888889,18
2021-08-17,XOM,Energy,-0.3551,-0.12293333333333334,3
2021-08-18,ABBV,Healthcare,0.38585,0.01095,2
2021-08-18,ABT,Healthcare,0.7717,0.3777,1
2021-08-18,ADBE,Tech,0.6705,0.5775,1
2021-08-18,AMD,Tech,0.3389,0.06425,4
2021-08-18,AMT,RealEstate,0.6249,0.0258,1
2021-08-18,CAT,Industrials,-0.51695,-0.5221,2
2021-08-18,CMCSA,Comm,0.13014285714285714,0.08421428571428571,7
2021-08-18,COP,Energy,0.23835,0.00905,2
2021-08-18,CVX,Energy,0.0,-0.08157500000000001,4
2021-08-18,DD,Materials,0.6369,0.3685,1
2021-08-18,DIS,Consumer,0.025637499999999987,-0.06578750000000001,8
2021-08-18,GE,Industrials,0.0,0.0155,1
2021-08-18,GILD,Healthcare,0.0,0.01615,2
2021-08-18,GS,Financials,-0.19037500000000002,-0.09952499999999999,4
2021-08-18,INTC,Tech,0.25574,0.08416,5
2021-08-18,KO,Consumer,0.35590000000000005,0.01593333333333333,3
2021-08-18,MMM,Industrials,-0.030950000000000005,-0.16472499999999998,4
2021-08-18,MRK,Healthcare,0.10115,0.0103,2
2021-08-18,MS,Financials,0.02429999999999999,0.026900000000000007,4
2021-08-18,NEM,Materials,-0.3182,-0.0052,1
2021-08-18,NVDA,Tech,0.018518749999999997,0.0075500000000000055,16
2021-08-18,O,RealEstate,0.24695,0.02065,2
2021-08-18,OXY,Energy,0.17175,0.015750000000000014,2
2021-08-18,PSA,RealEstate,0.5267,0.2914,1
2021-08-18,QCOM,Tech,0.2202,0.0245,2
2021-08-18,SBUX,Consumer,0.0,0.3612,1
2021-08-18,SHW,Materials,0.296,0.5719,1
2021-08-18,SLB,Energy,-0.258475,-0.26234999999999997,4
2021-08-18,T,Comm,-0.0703,0.021,2
2021-08-18,TMUS,Comm,-0.370425,-0.253,4
